No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	E	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
625773	01/06/2015	ZSCR	551	040-2	NA	'015	A2C73601801	NA	A2C73637100	2	3011	015	 	1402	"HOUSING, UPPER CBC"	NA	ROH	NA	48.82	S1_CBC MY15_. (APROBAC	NO	4991017402
625774	01/06/2015	ZSCR	551	040-2	NA	'015	A2C73601801	NA	A2C73637100	1	3011	015	 	1402	"HOUSING, UPPER CBC"	NA	ROH	NA	24.41	S1_CBC MY15_. (APROBAC	NO	4991017402
625775	01/06/2015	ZSCR	551	034-2	NA	'015	A2C73601801	NA	A2C73637100	4	3011	015	 	1342	"HOUSING, UPPER CBC"	NA	ROH	NA	97.64	S1_CBC MY15_. (APROBAC	NO	4991017052
625781	01/06/2015	ZSCR	551	042-4	NA	'015	A2C73637001	NA	A2C73637100	4	3011	015	 	1424	"HOUSING, UPPER CBC"	NA	ROH	NA	97.64	S1_CBC MY15_. (APROBAC	NO	4991017425
625829	01/06/2015	ZSCR	551	042-4	NA	'015	A2C82238301S	NA	A2C86398501	13	3011	015	 	1424	housing assy	NA	ROH	NA	102.44	S1_RFHM CUSW_A.ADRIANA	NO	4991017581
625831	01/06/2015	ZSCR	551	040-2	NA	'015	A2C82238301S	NA	A2C86398501	3	3011	015	 	1402	housing assy	NA	ROH	NA	23.64	S1_WK_WD RFHUB_A.ADRIAN	NO	4991017581
625867	01/06/2015	ZSCR	551	042-4	NA	'015	5WY7211	NA	A2C00004906	1	3011	015	 	1424	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	1.63	S1_PASE FOB CUSW_A.ADRI	NO	4991017329
625867	01/06/2015	ZSCR	551	042-4	NA	'015	A2C86022600	NA	A2C73750400	1	3011	015	 	1424	housing bottom assy CHR	NA	ROH	NA	8.41	S1_PASE FOB CUSW_A.ADRI	NO	4991017605
625867	01/06/2015	ZSCR	551	042-4	NA	'015	A2C86022600	NA	A2C73750700	1	3011	015	 	1424	pad Jewel	NA	ROH	NA	5.6	S1_PASE FOB CUSW_A.ADRI	NO	4991017605
625867	01/06/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73751400	1	3011	015	 	1424	pad Vent	NA	ROH	NA	1.28	S1_PASE FOB CUSW_A.ADRI	NO	4991017477
625869	01/06/2015	ZSCR	551	040-2	NA	'015	A2C37668700	NA	A2C53105128	6	3011	015	 	1402	Contact Spring positive	NA	ROH	NA	1.86	S1_PASE FOB CUSW_A.ADRI	NO	4991017339
625936	01/06/2015	ZSCR	551	035-1	0	'050	A2C8216760093	NA	A2C00048063	3	3011	050	 	1351	"TLE8263E,SBC,CAN/2LIN,DSO36-EP,BUS DRIVE"		ROH	NA	39.15	S1_WK_WD RFHUB_J.JORGE	NO	Stock
625937	01/06/2015	ZSCR	551	035-1	0	'050	A2C8730220093	NA	A2C40000660	6	3011	050	 	1351	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"		ROH	NA	129.9	S1_CUSW UF RFHM_J.JORGE	NO	4991018778
626243	01/06/2015	ZSCR	551	040-5	NA	'050	A2C73552502S	NA	A2C38081500	4	3011	050	 	1405	FOBIK MAX PCB	NA	ROH	NA	16.2	S1_CUSW UF RFHM_A.ADRIA	NO	4991018403
626278	02/06/2015	ZSCR	551	034-2	NA	'015	A2C86022500	NA	A2C73749700	1	3011	015	 	1342	housing cover assy up 4-btn	NA	ROH	NA	12.34	S1_PASE FOB CUSW_A.ADRI	NO	4991017251
626278	02/06/2015	ZSCR	551	034-2	NA	'015	A2C86022600	NA	A2C73750400	1	3011	015	 	1342	housing bottom assy CHR	NA	ROH	NA	8.41	S1_PASE FOB CUSW_A.ADRI	NO	4991017283
626278	02/06/2015	ZSCR	551	034-2	NA	'015	A2C86022600	NA	A2C73750700	1	3011	015	 	1342	pad Jewel	NA	ROH	NA	5.6	S1_PASE FOB CUSW_A.ADRI	NO	4991017283
626278	02/06/2015	ZSCR	551	034-2	NA	'015	A2C73752901	NA	A2C73751400	1	3011	015	 	1342	pad Vent	NA	ROH	NA	1.28	S1_PASE FOB CUSW_A.ADRI	NO	4991017166
626339	02/06/2015	ZSCR	551	035-1	0	'015	A2C85886700	NA	A2C53105128	150	3011	015	 	1351	Contact Spring positive		ROH	NA	46.5	S1_PASE FOB CUSW_J.JORG	NO	4991017585
626339	02/06/2015	ZSCR	551	035-1	0	'015	A2C86023300	NA	A2C73750700	56	3011	015	 	1351	pad Jewel		ROH	NA	313.6	S1_PASE FOB CUSW_J.JORG	NO	4991017625
626339	02/06/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	4991017486
626339	02/06/2015	ZSCR	551	035-1	0	'015	A2C7375190200	NA	A2C73751200	25	3011	015	 	1351	key latch		ROH	NA	54.25	S1_PASE FOB CUSW_J.JORG	NO	Stock
626339	02/06/2015	ZSCR	551	035-1	0	'015	A2C85886700	NA	A2C85519700	23	3011	015	 	1351	connecting piece Key Latch		ROH	NA	49.91	S1_PASE FOB CUSW_J.JORG	NO	4991017585
626339	02/06/2015	ZSCR	551	035-1	0	'015	A2C85886700	NA	A2C85519800	221	3011	015	 	1351	contact spring Spring		ROH	NA	24.31	S1_PASE FOB CUSW_J.JORG	NO	4991017585
626339	02/06/2015	ZSCR	551	035-1	0	'015	A2C85886700	NA	A2C85520100	189	3011	015	 	1351	sticker Dodge Jwl		ROH	NA	1194.48	S1_PASE FOB CUSW_J.JORG	NO	4991017585
626355	02/06/2015	ZSCR	551	040-2	NA	'050	A2C33279700	NA	A2C31229200	2	3011	050	 	1402	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	126.96	S1_TIPM MEDIUM_P.PABLO	NO	4991018336
