No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
381762	24/11/2013	ZSCR	551	040-3	NA	'045	5WY8770	NA	A2C80613000	1	1403	Key pad 5 buttons	NA	ROH	NA	7.4	S1_PEPS_J.JAVIER BECERR	NO	4972980745
381762	24/11/2013	ZSCR	551	040-3	NA	'045	5WY8774	NA	A2C80614100	1	1403	Keypad 4B	NA	ROH	NA	7	S1_PEPS_J.JAVIER BECERR	NO	4972980837
381856	24/11/2013	ZSCR	551	040-3	NA	'045	5WY8770	NA	A2C53429315	5	1403	housing cover assy FOG FORD P	NA	ROH	NA	20.7	S1_PEPS_J.JAVIER BECERR	NO	4972980552
381856	24/11/2013	ZSCR	551	040-3	NA	'045	5WY8770	NA	A2C53441221	9	1403	Key Tag	NA	ROH	NA	11.88	S1_PEPS_J.JAVIER BECERR	NO	4972980696
381923	25/11/2013	ZSCR	551	040-3	NA	'045	A2C34710700	NA	A2C34685400	7	1403	GLOBAL-A_BCM_BOTTOM_HOUSING	NA	ROH	NA	38.01	S1_GLOBAL A_L.LUIS LIZA	NO	4972981249
381998	25/11/2013	MB1A	551	034-2	K96019	'045	NA	NA	A2C53333375	5	1095	ring	NA	ROH	NA	2.25	S1_FOB K2XX_L.LUIS LOPE	NO	4972981096
382071	25/11/2013	ZSCR	551	040-3	NA	'045	S122736200A	NA	A2C53414278	12	1403	cover	NA	ROH	NA	81.72	S2_BCM_R.RODRIGO CERVAN	NO	4972980422
382141	25/11/2013	MB1A	551	034-2	K96019	'045	NA	NA	A2C53333375	11	1095	ring	NA	ROH	NA	4.95	S1_FOB K2XX_L.LUIS LOPE	NO	4972981096
382173	25/11/2013	MB1A	551	034-2	K96019	'045	NA	NA	A2C53333375	13	1095	ring	NA	ROH	NA	5.85	S1_FOB K2XX_L.LUIS LOPE	NO	4972981096
382293	26/11/2013	ZSCR	551	040-3	NA	'045	S122736202E	NA	A2C53414278	1	1403	cover	NA	ROH	NA	6.81	S2_BCM SQUARE D_R.RODRI	NO	4972980422
382445	26/11/2013	ZSCR	551	040-3	NA	'045	5WY8607	NA	A2C53429315	3	1403	housing cover assy FOG FORD P	NA	ROH	NA	12.42	S1_PEPS_J.JAVIER BECERR	NO	4972980552
382961	27/11/2013	ZSCR	551	040-3	NA	'045	A2C83817901	NA	A2C90085200	2	1403	keypad	NA	ROH	NA	47.78	S1_EZKEY_L.LUIS LIZARRA	NO	4972980854
383360	28/11/2013	ZSCR	551	040-3	NA	'045	S122736203	NA	A2C53414278	3	1403	cover	NA	ROH	NA	20.43	S2_BCM SQUARE D_R.RODRI	NO	4972980422
383820	29/11/2013	ZSCR	551	040-3	NA	'045	A2C53426032	NA	A2C53426033	16	1403	frame	NA	ROH	NA	40.64	S1_PEPS_J.JAVIER BECERR	NO	4972980468
