No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
570770	05/01/2015	MB1A	551	034-2	K96019	'054	NA	NA	A2C96631500	3				1095	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	1508.88	PSAD_DAIMLER STAR2_ISC_	NO	
570771	05/01/2015	ZSCR	551	034-2	NA	'054	A2C89730900	NA	A2C8021660002	2				1342	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	614.26	PS_HONDA HRS6_J.JUAN CH	NO	4985470374
570772	05/01/2015	ZSCR	551	040-3	NA	'054	5WK44076	NA	A2C00016838	1900	3011	054	 	1403	connector pin	NA	ROH	NA	532	OC_OCS NISSAN_A.ANA TAP	NO	4985470879
570773	05/01/2015	ZSCR	551	040-3	NA	'054	A2C91764400	NA	A2C40000025	1	3011	054	 	1403	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	6.83	PS_SDM30_.	NO	4985471825
570774	05/01/2015	ZSCR	551	040-5	NA	'054	A2C31080700	NA	A2C53330109	3	3011	054	 	1405	socket	NA	ROH	NA	54.3	PS_CHRYSLER MY2013_E.ED	NO	4985471233
570775	05/01/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C91600700	3				1095	multipoint connector124/ 86P H 2SYS 1018	NA	ROH	NA	183.75	PSAD_DAIMLER STAR2_ISC_	NO	
570776	05/01/2015	ZSCR	551	040-2	NA	'054	A2C91764100	2800	A2C91764100	1				1402	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO	4985469889
570777	05/01/2015	ZSCR	551	040-1	NA	'054	A2C37924700	NA	A2C37744300	1	3011	054	 	1401	pcb assy PTFSPEED15 V01	NA	HALB	S.Real	156.24	PS_FIAT BRAZIL_E.EDWIN	NO	No stock
570778	05/01/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C85221001	1				1095	pcb assy DAGSM D_2	NA	HALB	S.Real	246.56	PSAD_DAIMLER SMART_F.FE	NO	
570779	05/01/2015	ZSCR	551	040-3	NA	'054	5WY89350	NA	A2C31080700	1	3011	054	 	1403	airbag	NA	HALB	S.Real	331.82	PS_CHRYSLER MY2013_E.ED	NO	4985471147
570780	05/01/2015	ZSCR	551	050-1	NA	'054	A2C91764200	NA	A2C92572400	1				1501	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	360.42	PS_SDM30_.	NO	4985470672
570781	05/01/2015	ZSCR	551	040-2	NA	'054	A2C91764400	2800	A2C91764400	1				1402	ACU MY14 S15 18 XX 0 1 0 000	NA	FERT	NA	441.94	PS_SDM30_.	NO	4985469953
570782	05/01/2015	ZSCR	551	040-3	NA	'054	A2C94819900	NA	A2C5340491402	1	3011	054	 	1403	pcb assy HONHRS5 V30 REV 02	NA	HALB	S.Real	326.89	PS_HONDA HRS5_.	NO	4985471862
570788	05/01/2015	ZSCR	551	040-2	NA	'054	A2C89730900		A2C89730900	1				1402	ACU HONHRS6 MY14 S15 10 05 0 1 0 000	NA	FERT	NA	339.31	PS_HONDA HRS6_J.JUAN CH	NO	4985469843
570790	05/01/2015	ZSCR	551	040-5	NA	'054	A2C91085700	2800	A2C91085700	1				1405	ACU MY11 G40 18 XX 0 1 0 000	NA	FERT	NA	427.68	PS_SDM10+_.	NO	4985469870
570791	05/01/2015	ZSCR	551	040-5	NA	'054	A2C91764100	2800	A2C91764100	1				1405	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO	4985469903
570797	05/01/2015	ZSCR	551	040-2	NA	'054	A2C91764400	2800	A2C91764400	1				1402	ACU MY14 S15 18 XX 0 1 0 000	NA	FERT	NA	441.94	PS_SDM30_.	NO	4985469953
570800	05/01/2015	ZSCR	551	040-2	NA	'054	5WK44508	NA	A2C53416946	1	3011	054	 	1402	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	212.5	PS_VW10 LC_.	NO	4985470969
570802	05/01/2015	ZSCR	551	022-2	NA	'054	A2C85801200	NA	A2C83972000	4				1222	pcb topSMD	NA	HALB	S.Real/AutoBF	1446.6	PS_SDM10+_.	NO	4985470039
570804	05/01/2015	MB1A	551	040-1	K96019	'054	NA	NA	A2C84661700	1				1095	pcb assy VW20 D_4	NA	HALB	S.Real	248.8	PS_VW20 MQB_.	NO	
570805	05/01/2015	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	4985471748
