No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
174572	03/07/2012	ZSCR	551	040-3	NA	5WG50408	NA	A2C53420006	2	1403	pcb assy VW PQ35 ZE	NA	HALB	S.Real	697.58	S4_PQ35 5TA GEN_MIGUEL	NO	4959428232
174575	03/07/2012	ZSCR	551	040-2	NA	5WK50244	NA	A2C53361994	1	1402	"pcb assy VW POLO, VECU"	NA	HALB	S.Real	302.53	S4_PQ25_MIGUEL ZAVALA-M	NO	4959427639
174578	03/07/2012	ZSCR	551	040-2	NA	5WK50331	NA	A2C53398079	3	1402	"pcb assy VW POLO, VECU v020"	NA	HALB	S.Real	882.93	S4_PQ25_MIGUEL ZAVALA-M	NO	4959427674
174615	03/07/2012	ZSCR	551	040-2	NA	5WY8771	NA	A2C30130900	4	1402	key assy FOG FORD P	NA	ROH	NA	29.08	S1_PEPS_JAVIER BECERRA	NO	4959427831
174615	03/07/2012	ZSCR	551	040-2	NA	5WY8770	NA	A2C53333370	4	1402	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	234.72	S1_PEPS_JAVIER BECERRA	NO	4959427629
174627	03/07/2012	ZSCR	551	040-4	NA	A2C34172100	NA	A2C34172200	3	1404	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	197.82	S6_KWANG JIN_JAVIER BEC	NO	4959428336
174794	04/07/2012	ZSCR	551	042-4	NA	A2C34172100	NA	A2C34172200	3	1424	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	197.82	S6_KWANG JIN_JAVIER BEC	NO	4959428377
174803	04/07/2012	ZSCR	551	040-4	NA	5WG50408	NA	A2C53311196	4	1404	cover LOP B BK	NA	ROH	NA	23	S4_PQ35 5TA GEN_MIGUEL	NO	4959428345
174825	04/07/2012	ZSCR	551	040-4	NA	5WG50027	NA	A2C53106568	210	1404	sticker	NA	ROH	NA	86.1	S4_PQ GATEWAY_MIGUEL ZA	NO	4959428347
174940	04/07/2012	ZSCR	551	040-2	NA	5WG50405	NA	A2C53419997	1	1402	pcb assy VW PQ35 ZE	NA	HALB	S.Real	345.17	S4_PQ35 5TA GEN_MIGUEL	NO	4959427684
