No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
287259	4/7/2013	ZSCR	551	030-1	NA	'015	A2C38189400	NA	A2C3818940093	1	1301	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	30.54	S1_TG1C HYUNDAI_MIGUEL	4966301329		
287261	4/7/2013	ZSCR	551	040-3	NA	'015	S180052033	NA	A2C8158270093	1	1403	circuit board assy TPM TOP	NA	HALB	S.Real	28.58	S1_TG1C NISSAN_JAIME JI	4966301495		
287269	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53338452T	NA	A2C53306326	8	1342	pcb panel multiple rear	NA	ROH	NA	79.76	S1_DCU_ADRIAN CEBALLOS	4966301906		
287279	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C31556200	3	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	131.52	S1_TG1C NISSAN_JAIME JI			
287280	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402230	1	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	43.42	S5_TG1C HONDA_MIGUEL QU			
287281	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402231	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	44.65	S5_TG1C HONDA_MIGUEL QU			
287283	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402231	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	44.65	S5_TG1C HONDA_MIGUEL QU			
287284	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C80584900	1	1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	30.6	S5_TG1C HONDA_MIGUEL QU			
287286	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C53311707	1	1342	housing	NA	ROH	NA	2.43	S1_TG1C NISSAN_JAIME JI	4966302077		
287287	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C00046497	3	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	28.77	S5_TG1C HONDA_MIGUEL QU	4966301976		
287288	4/7/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	A2C37351000	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	44.89	S1_TG1C NISSAN_JAIME JI			
287289	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364700	1	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	45.04	S1_TG1C NISSAN_JAIME JI			
287290	4/7/2013	ZSCR	551	034-2	NA	'015	A2C80948200	NA	A2C30188101	4	1342	wheel unit TPM HL	NA	HALB	S.Real/AutoBF	215.6	S5_HONDA HL LL SP37_MIG	4966301298		
287291	4/7/2013	ZSCR	551	034-2	NA	'015	S180052035	NA	A2C53397674	1	1342	Parts kit assy TG1C Nissan 315 FSK	NA	HALB	S.Real/AutoBF	54	S1_TG1C NISSAN_JAIME JI			
287292	4/7/2013	ZSCR	551	034-2	NA	'015	S180052035	NA	A2C53397674	1	1342	Parts kit assy TG1C Nissan 315 FSK	NA	HALB	S.Real/AutoBF	54	S1_TG1C NISSAN_JAIME JI			
287293	4/7/2013	ZSCR	551	034-2	NA	'015	S180052035	NA	A2C53397674	1	1342	Parts kit assy TG1C Nissan 315 FSK	NA	HALB	S.Real/AutoBF	54	S1_TG1C NISSAN_JAIME JI			
287294	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	1	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	54.03	S1_TG1C NISSAN_JAIME JI			
287303	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53397674	NA	A2C37351700	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	44.68	S1_TG1C NISSAN_JAIME JI			
287304	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53397674	NA	A2C37351700	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	44.68	S1_TG1C NISSAN_JAIME JI			
287305	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	1	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	54.03	S1_TG1C NISSAN_JAIME JI			
287306	4/7/2013	ZSCR	551	040-3	NA	'015	A2C31556000	NA	A2C3156350093	3	1403	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	92.13	S1_TG1C NISSAN_JAIME JI	4966301475		
287308	4/7/2013	ZSCR	551	040-3	NA	'015	A2C53373417	NA	A2C3818940093	5	1403	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	152.7	S1_TG1C HYUNDAI_MIGUEL	4966301482		
287310	4/7/2013	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	8	1342	circuit board assy	NA	HALB	S.Real	703.44	S1_DCU_ADRIAN CEBALLOS	4966301402		
287313	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	5	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	269.35	S5_TG1C HONDA_MIGUEL QU			
287314	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53386128	NA	A2C53345109	3	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	161.61	S5_TG1C HONDA_MIGUEL QU			
287317	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53386128	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU			
287318	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53311707	1	1342	housing	NA	ROH	NA	2.43	S5_TG1C HONDA_MIGUEL QU	4966301976		
287319	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53402231	NA	A2C8058490093	1	1342	circuit board assy TPM TOP	NA	HALB	S.Real	30.6	S5_TG1C HONDA_MIGUEL QU	4966301423		
287320	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	2	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	107.74	S5_TG1C HONDA_MIGUEL QU			
287322	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU			
287323	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53386128	NA	A2C53345109	2	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	107.74	S5_TG1C HONDA_MIGUEL QU			
287324	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53386128	NA	A2C53345109	2	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	107.74	S5_TG1C HONDA_MIGUEL QU			
287325	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53386128	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU			
287334	4/7/2013	ZSCR	551	030-1	NA	'050	A2C31229100T	NA	A2C53428225	2	1301	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	111.86	S1_DCU_ADRIAN CEBALLOS	4966301562		
287337	4/7/2013	ZSCR	551	030-1	NA	'015	5WY8833	NA	A2C53338452	2	1301	circuit board assy	NA	HALB	S.Real	119.28	S1_DCU_ADRIAN CEBALLOS	4966301343		
287338	4/7/2013	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	1	1342	circuit board assy	NA	HALB	S.Real	87.93	S1_DCU_ADRIAN CEBALLOS	4966301402		
287340	4/7/2013	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	2	1342	circuit board assy	NA	HALB	S.Real	175.86	S1_DCU_ADRIAN CEBALLOS	4966301402		
287403	4/8/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C31109500	4	1342	valve housing assy	NA	ROH	NA	25.12	S1_TG1C NISSAN_JAIME JI	4966302077		
287404	4/8/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C53311707	7	1342	housing	NA	ROH	NA	17.01	S1_TG1C NISSAN_JAIME JI	4966302077		
287406	4/8/2013	ZSCR	551	034-2	NA	'015	S180052036SP	NA	A2C81364700	1	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	45.04	S1_TG1C NISSAN_JAIME JI			
287408	4/8/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402231	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	44.65	S5_HONDA HL LL SP37_MIG			
287410	4/8/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402231	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	44.65	S5_HONDA HL LL SP37_MIG			
287411	4/8/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402231	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	44.65	S5_HONDA HL LL SP37_MIG			
287412	4/8/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402231	2	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	89.3	S5_HONDA HL LL SP37_MIG			
287413	4/8/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402230	2	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	86.84	S5_HONDA HL LL SP37_MIG			
287415	4/8/2013	ZSCR	551	034-2	NA	'015	A2C53402230	NA	A2C00046497	2	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	19.18	S5_TG1C HONDA_MIGUEL QU	4966301926		
287416	4/8/2013	ZSCR	551	034-2	NA	'015	A2C53402230	NA	A2C53402230	5	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	217.1	S5_HONDA HL LL SP37_MIG			
287418	4/8/2013	ZSCR	551	034-2	NA	'015	A2C30723401	NA	A2C30723201	1	1342	module assy TPM	NA	HALB	S.Real/AutoBF	43.45	S5_HONDA HL LL SP37_MIG	4966301309		
287419	4/8/2013	ZSCR	551	034-2	NA	'015	A2C30723401	NA	A2C30723201	3	1342	module assy TPM	NA	HALB	S.Real/AutoBF	130.35	S5_HONDA HL LL SP37_MIG	4966301309		
287420	4/8/2013	ZSCR	551	034-2	NA	'015	S180052042K	NA	A2C30188101	2	1342	wheel unit TPM HL	NA	HALB	S.Real/AutoBF	107.8	S5_HONDA HL LL SP37_MIG	4966301298		
287421	4/8/2013	ZSCR	551	034-2	NA	'015	S180052042K	NA	A2C30188101	3	1342	wheel unit TPM HL	NA	HALB	S.Real/AutoBF	161.7	S5_HONDA HL LL SP37_MIG	4966301298		
287422	4/8/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	1	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	54.03	S1_TG1C NISSAN_JAIME JI			
287428	4/8/2013	ZSCR	551	034-2	NA	'015	A2C53429216	NA	A2C80640100	1	1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	27.02	S1_TG1C HYUNDAI_MIGUEL			
287429	4/8/2013	ZSCR	551	040-3	NA	'015	S180052017	NA	A2C53278172	8	1403	"rot shaft lip seal 9,4x16,30x 6,5 VMQ"	NA	ROH	NA	6.8	S1_TG1C HYUNDAI_MIGUEL			
287430	4/8/2013	ZSCR	551	034-2	NA	'015	S180052017	NA	A2C00510300	7	1342	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	72.17	S1_TG1C HYUNDAI_MIGUEL	4966302032		
287431	4/8/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53401335	4	1342	valve assy	NA	ROH	NA	31.56	S1_TG1C DCX_JAIME JIMEN	4966301690		
287432	4/8/2013	ZSCR	551	040-2	NA	'015	5WY8547	NA	A2C00046497	1	1402	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	9.59	S1_TG1C DCX_JAIME JIMEN			
287434	4/8/2013	ZSCR	551	040-3	NA	'015	A2C53397639	NA	A2C53352996	2	1403	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	4.56	S1_TG1C DCX_JAIME JIMEN			
287436	4/8/2013	ZSCR	551	040-3	NA	'015	S180052036	NA	A2C00051931	8	1403	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	79.6	S1_TG1C NISSAN_JAIME JI			
287457	4/8/2013	ZSCR	551	034-2	NA	'050	A2C3144240092	NA	A2C86363000	48	1342	pcb	NA	ROH	NA	72	S5_TG1C HONDA_MIGUEL QU	4966301827		
287459	4/8/2013	ZSCR	551	034-2	NA	'015	S180052017	NA	A2C3818940093	16	1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	488.64	S1_TG1C HYUNDAI_MIGUEL	4966301394		
287463	4/8/2013	ZSCR	551	034-2	NA	'015	A2C8058490093	NA	A2C8058490093	1	1342	circuit board assy TPM TOP	NA	HALB	S.Real	30.6	S5_TG1C HONDA_MIGUEL QU	4966301423		
287464	4/8/2013	ZSCR	551	034-2	NA	'015	A2C8058490093	NA	A2C8058490093	1	1342	circuit board assy TPM TOP	NA	HALB	S.Real	30.6	S5_TG1C HONDA_MIGUEL QU	4966301423		
287465	4/8/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C3156350093	1	1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	30.71	S1_TG1C NISSAN_JAIME JI	4966301384		
287488	4/8/2013	ZSCR	551	034-2	NA	'015	A2C3144240093	NA	A2C3144240093	3	1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	91.41	S1_TG1C DCX_JAIME JIMEN	4966301378		
287489	4/8/2013	ZSCR	551	034-2	NA	'015	A2C3818940093	NA	A2C3818940093	1	1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	30.54	S1_TG1C HYUNDAI_MIGUEL	4966301394		
287501	4/8/2013	ZSCR	551	034-2	NA	'015	A2C53402099	NA	A2C53402100	1	1342	module assy TPM	NA	HALB	S.Real/AutoBF	45.17	S1_TG1C HYUNDAI_MIGUEL			
287502	4/8/2013	ZSCR	551	034-2	NA	'015	A2C53402830	NA	A2C32163600	1	1342	module assy TPM	NA	HALB	S.Real/AutoBF	44.54	S1_TG1C DCX_JAIME JIMEN			
287601	4/8/2013	ZSCR	551	034-2	NA	'050	A2C31749200	NA	A2C53440572	120	1342	pcb TLS_WU2010	NA	ROH	NA	183.6	S1_TIS 1D CHRYSLER_JAIM	4966301840		
287647	4/8/2013	MB1A	551	010-3	95000016	'015	NA	NA	A2C84455900	4	1103	parts kit assy TPM	QN410092947	HALB	S.Real/AutoBF	195.64	S1_TG1C UNIVERSAL_JAIME	4966299733		
287651	4/8/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C31556200	3	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	131.52	S1_TG1C NISSAN_JAIME JI			
287652	4/8/2013	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	2	1342	circuit board assy	NA	HALB	S.Real	175.86	S1_DCU_ADRIAN CEBALLOS	4966301402		
287653	4/8/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53277894	1	1342	valve housing	NA	ROH	NA	6.31	S5_TG1C HONDA_MIGUEL QU	4966301976		
287654	4/8/2013	ZSCR	551	034-3	NA	'015	S180052036	NA	A2C81364700	1	1343	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	45.04	S1_TG1C NISSAN_JAIME JI			
287655	4/8/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402231	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	44.65	S5_TG1C HONDA_MIGUEL QU			
287658	4/8/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364700	3	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	135.12	S1_TG1C NISSAN_JAIME JI			
287660	4/8/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53402230	6	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	260.52	S1_TG1C NISSAN_JAIME JI			
287662	4/8/2013	ZSCR	551	034-9	NA	'015	S180052041	NA	A2C80640100	13	1349	circuit board assy TPM	NA	HALB	S.Real/AutoBF	351.26	S5_TIS1C127 HMC_ADRIANA			
287671	4/8/2013	ZSCR	551	99	NA	'015	A2C32880400	NA	A2C32880100	3	1099	module assy TPM	NA	HALB	S.Real/AutoBF	130.32	S1_TIS 1D CHRYSLER_JAIM	4966299877		
287676	4/8/2013	ZSCR	551	034-3	NA	'015	S180052017	NA	A2C53402099	3	1343	parts kit assy TPM	NA	HALB	S.Real/AutoBF	140.73	S1_TG1C HYUNDAI_MIGUEL			
287682	4/8/2013	ZSCR	551	040-3	NA	'015	A2C53348715	NA	A2C53402830	1	1403	parts kit assy TPM	NA	HALB	S.Real/AutoBF	46.39	S1_TG1C DCX_JAIME JIMEN			
287684	4/8/2013	ZSCR	551	040-3	NA	'015	A2C53319818	NA	A2C53402099	1	1403	parts kit assy TPM	NA	HALB	S.Real/AutoBF	46.91	S1_TG1C HYUNDAI_MIGUEL			
287686	4/8/2013	ZSCR	551	040-3	NA	'015	A2C81364500	NA	A2C81364700	1	1403	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	45.04	S1_TG1C NISSAN_JAIME JI			
287747	4/8/2013	ZSCR	551	030-1	NA	'015	S180052036	NA	A2C3156350093	3	1301	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	92.13	S1_TG1C NISSAN_JAIME JI	4966301322		
287808	4/9/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	A2C53407338	3	1342	Control device TG1C NISSAN 315 ASK	NA	HALB	S.Real/AutoBF	162.63	S1_TG1C NISSAN_JAIME JI			
287809	4/9/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	A2C53407338	1	1342	Control device TG1C NISSAN 315 ASK	NA	HALB	S.Real/AutoBF	54.21	S1_TG1C NISSAN_JAIME JI			
287813	4/9/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	A2C53407338	1	1342	Control device TG1C NISSAN 315 ASK	NA	HALB	S.Real/AutoBF	54.21	S1_TG1C NISSAN_JAIME JI			
287851	4/9/2013	ZSCR	551	034-2	NA	'015	A2C8158270093	NA	A2C8158270093	1	1342	circuit board assy TPM TOP	NA	HALB	S.Real	28.58	S1_TG1C NISSAN_JAIME JI	4966301430		
287853	4/9/2013	ZSCR	551	030-1	NA	'015	A2C8158270093	NA	A2C8158270093	2	1301	circuit board assy TPM TOP	NA	HALB	S.Real	57.16	S1_TG1C NISSAN_JAIME JI	4966301351		
287854	4/9/2013	ZSCR	551	030-1	NA	'015	A2C8158270093	NA	A2C8158270093	1	1301	circuit board assy TPM TOP	NA	HALB	S.Real	28.58	S1_TG1C NISSAN_JAIME JI	4966301351		
287856	4/9/2013	ZSCR	551	034-2	NA	'015	A2C3156350093	NA	A2C3156350093	1	1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	30.71	S1_TG1C NISSAN_JAIME JI	4966301384		
287885	4/9/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C31563500	1	1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	30.71	S1_TG1C NISSAN_JAIME JI			
287886	4/9/2013	MB1A	551	010-3	95000049	'015	NA	NA	A2C53311707	225	1103	housing	QN410093068	ROH	NA	546.75	S1_TG1C NISSAN_JAIME JI	4966299820		
