No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
573812	12/01/2015	ZSCR	551	050-1	NA	'100	5WK84007	NA	6596177197	7				1501	subassembly SMD 5wk84007	NA	HALB	S.Real/AutoBF	2720.76	OES_MK25_.	NO	NA
577574	21/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C9663160093	1				1095	pcb assy DAGSTAR2 ISC with SW SMD TOP	NA	HALB	S.Real	332.16	PSAD_DAIMLER STAR2_ISC_	NO	
577582	21/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C9663160093	6				1095	pcb assy DAGSTAR2 ISC with SW SMD TOP	NA	HALB	S.Real	2031.6	PSAD_DAIMLER STAR2_ISC_	NO	
577614	21/01/2015	MB1A	551	040-2	K96019	'054	NA	NA	A2C96631600	1				1095	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	410.46	PSAD_DAIMLER STAR2_ISC_	NO	
577617	21/01/2015	MB1A	551	040-3	K96019	'054	NA	NA	A2C9663160093	1				1095	pcb assy DAGSTAR2 ISC with SW SMD TOP	NA	HALB	S.Real	332.16	PSAD_DAIMLER STAR2_ISC_	NO	
577635	21/01/2015	MB1A	551	050-3	K96019	'054	NA	NA	A2C96631600	4				1095	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	1641.84	PSAD_DAIMLER STAR2_ISC_	NO	
577655	21/01/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C91600700	1				1095	multipoint connector124/ 86P H 2SYS 1018	NA	ROH	NA	61.25	PSAD_DAIMLER STAR2_ISC_	NO	
577669	21/01/2015	MB1A	551	040-3	K96019	'054	NA	NA	A2C96631600	1				1095	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	410.46	PSAD_DAIMLER STAR2_ISC_	NO	
577676	21/01/2015	MB1A	551	040-1	K96019	'054	NA	NA	A2C96631600	1				1095	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	410.46	PSAD_DAIMLER STAR2_ISC_	NO	
577685	21/01/2015	ZSCR	551	034-2	NA	'054	A2C73614500	NA	A2C83017000	13	3011	054	 	1342	cover B	NA	ROH	NA	52.13	PSAD_PSA MAGNA_J.JOSE O	NO	4986092059
577685	21/01/2015	ZSCR	551	034-2	NA	'054	A2C73614500	NA	A2C83017100	13	3011	054	 	1342	housing assy PSAG3I prefabrica	NA	ROH	NA	648.05	PSAD_PSA MAGNA_J.JOSE O	NO	4986092059
577685	21/01/2015	ZSCR	551	034-2	NA	'054	A2C8301690092	NA	A2C83017500	8	3011	054	 	1342	pcb 4-lay main	NA	ROH	NA	141.44	PSAD_PSA MAGNA_J.JOSE O	NO	
577685	21/01/2015	ZSCR	551	034-2	NA	'054	A2C8607640093	NA	A2C8607640093	2	3011	054	 	1342	MRS*Z3 4-A6 PSA PCB BOTTOM SMD ASSEMBLY	NA	HALB	S.Real	371.3	PSAD_PSA MAGNA_J.JOSE O	NO	
577693	21/01/2015	MB1A	551	025-4	B30301-00295	'054	NA	NA	A2C94832300	12				1095	pcb assy DAGSTAR22 D_2	NA	HALB	S.Real	7221.48	PSAD_STAR 22_. (APROBA	NO	
577693	21/01/2015	MB1A	551	025-4	B30301-00295	'054	NA	NA	A2C94832400	14				1095	pcb assy DAGSTAR22 D_3	NA	HALB	S.Real	7991.06	PSAD_STAR 22_. (APROBA	NO	
577924	22/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C9663160093	1				1095	pcb assy DAGSTAR2 ISC with SW SMD TOP	NA	HALB	S.Real	338.6	PSAD_DAIMLER STAR2_ISC_	NO	
577940	22/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522140193	1				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	177.45	PSAD_DAIMLER SMART_F.FE	NO	
