Folio	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
537260	19/10/2014	ZSCR	551	035-1	0	'050	A2C8216770093	NA	A2C53331174	30	1351	antenna		ROH	NA	50.7	S1_WK_WD RFHUB_J.JORGE	NO	4983282044		
537297	20/10/2014	ZSCR	551	034-2	NA	'050	A2C73785403	NA	A2C73599005	2	1342	pcb 4-lay ImSn Chrysler MY15 CBC	NA	ROH	NA	199.28	S1_CBC MY15_. (APROBAC	NO	4983281737		
537298	20/10/2014	ZSCR	551	034-2	NA	'050	A2C30821600	NA	A2C53428225	2	1342	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	102.12	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
537582	20/10/2014	ZSCR	551	034-2	NA	'050	A2C31245700T	NA	A2C00061949	6	1342	IC BUS DRIV/High Speed CAN Transceiver w	NA	ROH	NA	12.48	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
537582	20/10/2014	ZSCR	551	034-2	NA	'050	A2C30822000T	NA	A2C40001176	2	1342	"D SUP/SMBJ30C,5.59*3.81*2.26"	NA	ROH	NA	1.06	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
537582	20/10/2014	ZSCR	551	034-2	NA	'050	A2C30822000T	NA	A2C40006055	4	1342	"TA CAP,TA,15uF,20%,10V,SMD"	NA	ROH	NA	2.96	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
537582	20/10/2014	ZSCR	551	034-2	NA	'050	5WY8842	NA	A2C53428225	8	1342	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	408.48	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
537725	20/10/2014	ZSCR	551	034-2	NA	'050	A2C73552601S	NA	A2C38081500	20	1342	FOBIK MAX PCB	NA	ROH	NA	74.8	S1_PASE FOB CUSW_A.ADRI	NO	4983281792		
537924	21/10/2014	ZSCR	551	034-2	NA	'050	A2C31228500T	NA	A2C53428225	2	1342	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	102.12	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
538266	21/10/2014	ZSCR	551	050-2	NA	'050	A2C31229000T	NA	A2C40001463	22800	1502	"C CER,X7R,100nF,10%,50V,0805,Sn ++ Open"	NA	ROH	NA	684	S1_TIPM MEDIUM_P.PABLO	NO	4983282085		
538283	21/10/2014	ZSCR	551	034-1	NA	'050	A2C8082790093	NA	A2C32118900	2	1341	"PCB, MY12 SPDJB W/LOOP ANTENNA ST DRV Z"	NA	ROH	NA	89.22	S1_SPDJB_P.PABLO PALMER	NO	4983281533		
538283	21/10/2014	ZSCR	551	034-1	NA	'050	A2C8083670093	NA	A2C40005535	16	1341	"R NET,200K,5%,63mW,1206"	NA	ROH	NA	0.32	S1_SPDJB_P.PABLO PALMER	NO	4983281553		
538283	21/10/2014	ZSCR	551	034-1	NA	'050	A2C31231400T	NA	A2C40006972	20	1341	"C CER,X7R,100nF,10%,50V,0805,-"	NA	ROH	NA	0.8	S1_SPDJB_P.PABLO PALMER	NO	4983281488		
538283	21/10/2014	ZSCR	551	034-1	NA	'050	A2C53430026T	NA	A2C40007720	2	1341	"D SUP/U5ZA27C(TE24L),10.50 X 16.00"	NA	ROH	NA	7.66	S1_SPDJB_P.PABLO PALMER	NO	4983281495		
538283	21/10/2014	ZSCR	551	034-1	NA	'050	A2C8083670093	NA	A2C40016614	8	1341	"IC LOGIC/MC14021BD,SOIC16"	NA	ROH	NA	5.84	S1_SPDJB_P.PABLO PALMER	NO	4983281553		
