No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
657108	28/08/2015	MB1A	951	025-4	NA	'054	NA	1	5WK44426	39	1254	FERT	NA	9993.75	PS_HONDA HRS5_.	NO	4993026917
657109	28/08/2015	MB1A	951	025-4	NA	'054	NA	1	5WK44426	9	1254	FERT	NA	2306.25	PS_HONDA HRS5_.	NO	4993026977
657110	28/08/2015	MB1A	951	025-4	NA	'054	NA	1	5WK44426	10	1254	FERT	NA	2562.5	PS_HONDA HRS5_.	NO	4993027017
657111	28/08/2015	MB1A	951	025-4	NA	'054	NA	1	5WK44426	1	1254	FERT	NA	256.25	PS_HONDA HRS5_.	NO	4993027083
657112	28/08/2015	MB1A	951	025-4	NA	'054	NA	1	5WK44427	250	1254	FERT	NA	64025	PS_HONDA HRS5_.	NO	4993027151
657116	28/08/2015	MB1A	951	025-4	NA	'054	NA	3	5WK44688	10	1254	FERT	NA	2560.4	PS_HONDA HRS5_.	NO	4993027232
657117	28/08/2015	MB1A	951	025-4	NA	'054	NA	1	5WK44427	20	1254	FERT	NA	5122	PS_HONDA HRS5_.	NO	4993027285
657120	28/08/2015	MB1A	951	025-4	NA	'054	NA	6	5WK43815	140	1254	FERT	NA	52262	PS_HONDA HRS5_.	NO	4993027368
657121	28/08/2015	MB1A	951	025-4	NA	'054	NA	6	5WK43815	5	1254	FERT	NA	1866.5	PS_HONDA HRS5_.	NO	4993027440
657126	28/08/2015	MB1A	951	025-4	NA	'054	NA	3	5WK44835	21	1254	FERT	NA	7976.64	PS_HONDA HRS5_.	NO	4993027502
657145	28/08/2015	MB1A	951	025-4	NA	'054	NA	1	5WK44426	30	1254	FERT	NA	7687.5	PS_HONDA HRS5_.	NO	4993027553
657147	28/08/2015	MB1A	951	025-4	NA	'054	NA	1	5WK44427	10	1254	FERT	NA	2561	PS_HONDA HRS5_.	NO	4993027598
657161	28/08/2015	MB1A	951	025-4	NA	'054	NA	1	5WK44427	180	1254	FERT	NA	46098	PS_HONDA HRS5_.	NO	4993027598
